               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,             0.03607,            0.053795,           0.0044078,             0.74272,             0.38483,             0.42212,             0.25359,            0.037437,            0.059767,           0.0083487,            0.007162,            0.007162,            0.007162
                  88,            0.036238,            0.054238,           0.0042955,             0.72416,             0.37924,             0.42162,             0.25367,            0.037468,            0.059921,           0.0083849,            0.007129,            0.007129,            0.007129
                  89,            0.036245,            0.055027,           0.0043332,             0.73402,             0.38701,             0.42928,             0.25422,              0.0374,             0.05988,            0.008277,            0.007096,            0.007096,            0.007096
                  90,            0.036098,            0.053464,           0.0042099,             0.72874,             0.38453,             0.42222,             0.25024,             0.03742,            0.059884,           0.0083417,            0.007063,            0.007063,            0.007063
                  91,            0.036111,            0.053735,           0.0042834,             0.72023,             0.38926,             0.42513,             0.25334,             0.03747,            0.059924,           0.0084321,             0.00703,             0.00703,             0.00703
                  92,            0.036056,            0.054319,           0.0041563,             0.71228,             0.39649,             0.42567,             0.25249,             0.03742,            0.059793,           0.0085088,            0.006997,            0.006997,            0.006997
                  93,            0.035883,            0.053861,           0.0041766,             0.69126,             0.41225,             0.43169,             0.25253,            0.037451,            0.059773,            0.008461,            0.006964,            0.006964,            0.006964
                  94,            0.035749,            0.053543,           0.0042673,             0.75992,             0.38161,             0.42898,             0.25323,            0.037466,            0.059954,           0.0083789,            0.006931,            0.006931,            0.006931
                  95,            0.035839,            0.054088,           0.0040856,             0.71568,             0.39202,             0.42452,             0.25342,            0.037465,            0.060169,           0.0084388,            0.006898,            0.006898,            0.006898
                  96,            0.035979,            0.054453,           0.0040818,             0.71681,              0.3968,             0.42948,             0.25656,            0.037398,            0.060086,           0.0084025,            0.006865,            0.006865,            0.006865
                  97,             0.03586,            0.054693,           0.0041312,             0.75816,             0.37838,             0.42766,             0.25728,            0.037383,            0.060257,           0.0084225,            0.006832,            0.006832,            0.006832
                  98,            0.035545,            0.053736,           0.0042501,             0.71684,             0.38843,             0.42708,             0.25667,            0.037364,            0.060167,           0.0083979,            0.006799,            0.006799,            0.006799
                  99,            0.035546,            0.053403,           0.0041789,             0.75545,              0.3775,             0.42788,             0.25672,            0.037327,            0.060068,           0.0083478,            0.006766,            0.006766,            0.006766
                 100,             0.03587,            0.054484,           0.0040238,             0.72966,             0.38517,             0.42637,             0.25672,            0.037313,            0.060155,           0.0083375,            0.006733,            0.006733,            0.006733
                 101,            0.035435,            0.053128,           0.0040595,             0.69925,             0.39593,             0.42676,             0.25809,            0.037342,            0.060279,           0.0084159,              0.0067,              0.0067,              0.0067
                 102,            0.035648,            0.052897,           0.0039366,              0.7048,             0.40083,             0.42663,             0.25821,            0.037303,            0.060243,           0.0084415,            0.006667,            0.006667,            0.006667
                 103,            0.035539,             0.05424,           0.0038791,             0.76263,              0.3838,             0.42985,              0.2575,             0.03727,            0.060371,           0.0084685,            0.006634,            0.006634,            0.006634
